DNASample	Genus	Species	Population	Basin	Basi2
1000622	Eichhornia	crassipes	Parana_6_-_Rio_Pardo	Parana	Parana_Parana_6_-_Rio_
1000631	Eichhornia	crassipes	Parana_7_-_Rio_Verde	Parana	Parana_Parana_7_-_Rio_
1000635	Eichhornia	crassipes	Parana_7_-_Rio_Verde	Parana	Parana_Parana_7_-_Rio_
20442	Eichhornia	crassipes	Rio_Paraguai_-_PM2	Pantanal	Pantanal_Rio_Paraguai_-_
20444	Eichhornia	crassipes	Rio_Paraguai_-_PM2	Pantanal	Pantanal_Rio_Paraguai_-_
20445	Eichhornia	crassipes	Rio_Paraguai_-_PM2	Pantanal	Pantanal_Rio_Paraguai_-_
20446	Eichhornia	crassipes	Rio_Paraguai_-_PM2	Pantanal	Pantanal_Rio_Paraguai_-_
218	Eichhornia	crassipes	Estrada_norte_-_PM1	Pantanal	Pantanal_Estrada_norte_-
222	Eichhornia	crassipes	Estrada_norte_-_PM1	Pantanal	Pantanal_Estrada_norte_-
230	Eichhornia	crassipes	Rio_Paraguai_-_PM2	Pantanal	Pantanal_Rio_Paraguai_-_
2307	Eichhornia	crassipes	P8_Norte_-_Porto_Cercado	Pantanal	Pantanal_P8_Norte_-_Port
2311	Eichhornia	crassipes	P8_Norte_-_Porto_Cercado	Pantanal	Pantanal_P8_Norte_-_Port
2319	Eichhornia	crassipes	P9_Norte_-_Baia_Chacorore	Pantanal	Pantanal_P9_Norte_-_Baia
2323	Eichhornia	crassipes	P9_Norte_-_Baia_Chacorore	Pantanal	Pantanal_P9_Norte_-_Baia
2334	Eichhornia	crassipes	P10_Norte_-_Capoeirinha_Ponto_Quebrada	Pantanal	Pantanal_P10_Norte_-_Cap
